County,FIPS Code,Density
Albany County,1,570.74
Allegany County,3,47.34
Bronx County,5,24118.2
Broome County,7,280.56
Cattaraugus County,9,61.31
Cayuga County,11,92.62
Chautauqua County,13,89.94
Chemung County,15,216.23
Chenango County,17,56.16
Clinton County,19,73.46
Columbia County,21,97.37
Cortland County,23,98.28
Delaware County,25,32.68
Dutchess County,27,360.59
Erie County,29,749.02
Essex County,31,20.55
Franklin County,33,30.41
Fulton County,35,104.19
Genesee County,37,121.37
Greene County,39,74.8
Hamilton County,41,2.67
Herkimer County,43,44.25
Jefferson County,45,62.59
Kings County,47,25848.3
Lewis County,49,21.0
Livingston County,51,102.18
Madison County,53,110.94
Monroe County,55,544.91
Montgomery County,57,122.49
Nassau County,59,2957.02
New York County,61,46961.0
Niagara County,63,189.89
Oneida County,65,193.63
Onondaga County,67,579.44
Ontario County,69,163.04
Orange County,71,444.35
Orleans County,73,52.49
Oswego County,75,93.07
Otsego County,77,62.07
Putnam County,79,405.33
Queens County,81,12512.46
Rensselaer County,83,239.74
Richmond County,85,4572.98
Rockland County,87,1566.27
St. Lawrence County,89,39.68
Saratoga County,91,260.2
Schenectady County,93,736.8
Schoharie County,95,51.84
Schuyler County,97,53.63
Seneca County,99,108.46
Steuben County,101,70.51
Suffolk County,103,629.31
Sullivan County,105,77.78
Tioga County,107,97.75
Tompkins County,109,213.37
Ulster County,111,157.19
Warren County,113,75.53
Washington County,115,74.72
Wayne County,117,67.75
Westchester County,119,1898.23
Wyoming County,121,70.73
Yates County,123,67.41
